Time,Robot,Move
0:0:0,robot1, Mario_Cell
0:0:0,robot1, stop
0:0:0,robot1, mov_cte
0:0:20,robot1, Cafe_Palantino
0:0:20,robot1, stop
0:0:24,robot1, mov_cte
0:1:05,robot1, LiliPink
0:1:05,robot1, stop
0:1:09,robot1, mov_cte
0:1:49,robot1, Confam_drog
0:1:49,robot1, stop
0:1:53,robot1, mov_cte
0:2:34,robot1, Exito
0:2:34,robot1, stop
0:2:38,robot1, mov_cte
0:3:14,robot1, Sweet
0:3:18,robot1, stop
0:0:0,robot2, Mario_Cell
0:0:0,robot2, stop
0:0:0,robot2, mov_cte
0:0:20,robot2, Cafe_Palantino
0:0:20,robot2, stop
0:0:24,robot2, mov_cte
0:1:05,robot2, LiliPink
0:1:05,robot2, stop
0:1:09,robot2, mov_cte
0:1:49,robot2, Confam_drog
0:1:49,robot2, stop
0:1:53,robot2, mov_cte
0:2:34,robot2, Exito
0:2:34,robot2, stop
0:2:38,robot2, mov_cte
0:3:14,robot2, Sweet
0:3:18,robot2, stop
0:0:0,robot3, Mario_Cell
0:0:0,robot3, stop
0:0:0,robot3, mov_cte
0:0:20,robot3, Cafe_Palantino
0:0:20,robot3, stop
0:0:24,robot3, mov_cte
0:1:05,robot3, LiliPink
0:1:05,robot3, stop
0:1:09,robot3, mov_cte
0:1:49,robot3, Confam_drog
0:1:49,robot3, stop
0:1:53,robot3, mov_cte
0:2:34,robot3, Exito
0:2:34,robot3, stop
0:2:38,robot3, mov_cte
0:3:14,robot3, Sweet
0:3:18,robot3, stop
0:0:0,robot4, Mario_Cell
0:0:0,robot4, stop
0:0:0,robot4, mov_cte
0:0:20,robot4, Cafe_Palantino
0:0:20,robot4, stop
0:0:24,robot4, mov_cte
0:1:05,robot4, LiliPink
0:1:05,robot4, stop
0:1:09,robot4, mov_cte
0:1:49,robot4, Confam_drog
0:1:49,robot4, stop
0:1:53,robot4, mov_cte
0:2:34,robot4, Exito
0:2:34,robot4, stop
0:2:38,robot4, mov_cte
0:3:14,robot4, Sweet
0:3:18,robot4, stop
0:0:0,robot5, Mario_Cell
0:0:0,robot5, stop
0:0:0,robot5, mov_cte
0:0:20,robot5, Cafe_Palantino
0:0:20,robot5, stop
0:0:24,robot5, mov_cte
0:1:05,robot5, LiliPink
0:1:05,robot5, stop
0:1:09,robot5, mov_cte
0:1:49,robot5, Confam_drog
0:1:49,robot5, stop
0:1:53,robot5, mov_cte
0:2:34,robot5, Exito
0:2:34,robot5, stop
0:2:38,robot5, mov_cte
0:3:14,robot5, Sweet
0:3:18,robot5, stop
0:0:0,robot6, Mario_Cell
0:0:0,robot6, stop
0:0:0,robot6, mov_cte
0:0:20,robot6, Cafe_Palantino
0:0:20,robot6, stop
0:0:24,robot6, mov_cte
0:1:05,robot6, LiliPink
0:1:05,robot6, stop
0:1:09,robot6, mov_cte
0:1:49,robot6, Confam_drog
0:1:49,robot6, stop
0:1:53,robot6, mov_cte
0:2:34,robot6, Exito
0:2:34,robot6, stop
0:2:38,robot6, mov_cte
0:3:14,robot6, Sweet
0:3:18,robot6, stop
0:0:0,robot7, Mario_Cell
0:0:0,robot7, stop
0:0:0,robot7, mov_cte
0:0:20,robot7, Cafe_Palantino
0:0:20,robot7, stop
0:0:24,robot7, mov_cte
0:1:05,robot7, LiliPink
0:1:05,robot7, stop
0:1:09,robot7, mov_cte
0:1:49,robot7, Confam_drog
0:1:49,robot7, stop
0:1:53,robot7, mov_cte
0:2:34,robot7, Exito
0:2:34,robot7, stop
0:2:38,robot7, mov_cte
0:3:14,robot7, Sweet
0:3:18,robot7, stop
0:0:0,robot8, Mario_Cell
0:0:0,robot8, stop
0:0:0,robot8, mov_cte
0:0:20,robot8, Cafe_Palantino
0:0:20,robot8, stop
0:0:24,robot8, mov_cte
0:1:05,robot8, LiliPink
0:1:05,robot8, stop
0:1:09,robot8, mov_cte
0:1:49,robot8, Confam_drog
0:1:49,robot8, stop
0:1:53,robot8, mov_cte
0:2:34,robot8, Exito
0:2:34,robot8, stop
0:2:38,robot8, mov_cte
0:3:14,robot8, Sweet
0:3:18,robot8, stop
0:0:0,robot9, Mario_Cell
0:0:0,robot9, stop
0:0:0,robot9, mov_cte
0:0:20,robot9, Cafe_Palantino
0:0:20,robot9, stop
0:0:24,robot9, mov_cte
0:1:05,robot9, LiliPink
0:1:05,robot9, stop
0:1:09,robot9, mov_cte
0:1:49,robot9, Confam_drog
0:1:49,robot9, stop
0:1:53,robot9, mov_cte
0:2:34,robot9, Exito
0:2:34,robot9, stop
0:2:38,robot9, mov_cte
0:3:14,robot9, Sweet
0:3:18,robot9, stop
0:0:0,robot10, Mario_Cell
0:0:0,robot10, stop
0:0:0,robot10, mov_cte
0:0:20,robot10, Cafe_Palantino
0:0:20,robot10, stop
0:0:24,robot10, mov_cte
0:1:05,robot10, LiliPink
0:1:05,robot10, stop
0:1:09,robot10, mov_cte
0:1:49,robot10, Confam_drog
0:1:49,robot10, stop
0:1:53,robot10, mov_cte
0:2:34,robot10, Exito
0:2:34,robot10, stop
0:2:38,robot10, mov_cte
0:3:14,robot10, Sweet
0:3:18,robot10, stop

