Time,Robot,Move
0:3:31,robot18,start
0:3:31,robot18,stop
0:3:35,robot18,mov_cte
0:3:37,robot18,C1
0:3:39,robot18,stop
0:3:43,robot18,mov_cte
0:4:5,robot18,C4
0:4:7,robot18,stop
0:4:14,robot18,mov_cte
0:4:35,robot18,C9
0:4:37,robot18,stop
0:4:42,robot18,mov_cte
0:5:3,robot18,C15
0:5:4,robot18,stop
0:5:14,robot18,mov_cte
0:5:34,robot18,C16
0:5:35,robot18,stop
0:5:43,robot18,mov_cte
0:6:6,robot18,C21
0:6:7,robot18,stop
0:6:9,robot18,mov_cte
0:6:34,robot18,C20
0:6:36,robot18,stop
0:6:44,robot18,mov_cte
0:7:5,robot18,C23
0:7:8,robot18,stop
0:7:10,robot18,end
0:3:15,robot3,start
0:3:15,robot3,stop
0:3:21,robot3,mov_cte
0:3:24,robot3,C1
0:3:29,robot3,stop
0:3:31,robot3,mov_cte
0:3:53,robot3,C4
0:3:55,robot3,stop
0:3:57,robot3,mov_cte
0:4:20,robot3,C9
0:4:21,robot3,stop
0:4:23,robot3,mov_cte
0:4:48,robot3,C8
0:4:50,robot3,stop
0:4:52,robot3,mov_cte
0:5:16,robot3,C14
0:5:18,robot3,stop
0:5:23,robot3,mov_cte
0:5:47,robot3,C15
0:5:49,robot3,stop
0:5:51,robot3,mov_cte
0:6:12,robot3,C16
0:6:14,robot3,stop
0:6:16,robot3,mov_cte
0:6:38,robot3,C17
0:6:40,robot3,stop
0:6:44,robot3,mov_cte
0:7:8,robot3,C22
0:7:9,robot3,stop
0:7:11,robot3,mov_cte
0:7:34,robot3,stop
0:7:35,robot3,mov_cte
0:7:38,robot3,C21
0:7:39,robot3,stop
0:7:41,robot3,mov_cte
0:8:3,robot3,C20
0:8:6,robot3,stop
0:8:10,robot3,mov_cte
0:8:11,robot3,stop
0:8:12,robot3,mov_cte
0:8:31,robot3,C23
0:8:34,robot3,stop
0:8:37,robot3,end
0:6:35,robot9,start
0:6:35,robot9,stop
0:6:38,robot9,mov_cte
0:6:41,robot9,C1
0:6:44,robot9,stop
0:6:48,robot9,mov_cte
0:7:22,robot9,C4
0:7:25,robot9,stop
0:7:29,robot9,mov_cte
0:7:60,robot9,C9
0:8:2,robot9,stop
0:8:11,robot9,mov_cte
0:8:41,robot9,C8
0:8:44,robot9,stop
0:8:47,robot9,mov_cte
0:9:18,robot9,C14
0:9:20,robot9,stop
0:9:23,robot9,mov_cte
0:9:24,robot9,stop
0:9:24,robot9,mov_cte
0:9:55,robot9,C15
0:9:57,robot9,stop
0:10:5,robot9,mov_cte
0:10:30,robot9,stop
0:10:31,robot9,mov_cte
0:10:35,robot9,stop
0:10:35,robot9,mov_cte
0:10:41,robot9,C16
0:10:43,robot9,stop
0:10:45,robot9,mov_cte
0:11:16,robot9,C17
0:11:18,robot9,stop
0:11:23,robot9,mov_cte
0:11:54,robot9,C22
0:11:56,robot9,stop
0:12:2,robot9,mov_cte
0:12:34,robot9,C21
0:12:35,robot9,stop
0:12:43,robot9,mov_cte
0:13:14,robot9,C20
0:13:16,robot9,stop
0:13:22,robot9,mov_cte
0:13:53,robot9,C23
0:13:58,robot9,stop
0:14:3,robot9,end
0:3:47,robot19,start
0:3:47,robot19,stop
0:3:50,robot19,mov_cte
0:3:53,robot19,C1
0:3:54,robot19,stop
0:3:56,robot19,mov_cte
0:4:18,robot19,C4
0:4:19,robot19,stop
0:4:21,robot19,mov_cte
0:4:44,robot19,C9
0:4:45,robot19,stop
0:4:50,robot19,mov_cte
0:5:10,robot19,C15
0:5:12,robot19,stop
0:5:15,robot19,mov_cte
0:5:36,robot19,C16
0:5:37,robot19,stop
0:5:42,robot19,mov_cte
0:6:4,robot19,C17
0:6:6,robot19,stop
0:6:15,robot19,mov_cte
0:6:38,robot19,C22
0:6:40,robot19,stop
0:6:43,robot19,mov_cte
0:7:6,robot19,C21
0:7:8,robot19,stop
0:7:13,robot19,mov_cte
0:7:28,robot19,stop
0:7:30,robot19,end
0:3:27,robot12,start
0:3:27,robot12,stop
0:3:28,robot12,mov_cte
0:3:30,robot12,C1
0:3:32,robot12,stop
0:3:35,robot12,mov_cte
0:3:60,robot12,C4
0:4:2,robot12,stop
0:4:7,robot12,mov_cte
0:4:30,robot12,C9
0:4:31,robot12,stop
0:4:36,robot12,mov_cte
0:4:56,robot12,C15
0:4:58,robot12,stop
0:5:1,robot12,mov_cte
0:5:24,robot12,C16
0:5:26,robot12,stop
0:5:31,robot12,mov_cte
0:5:54,robot12,C17
0:5:56,robot12,stop
0:5:59,robot12,mov_cte
0:6:22,robot12,C22
0:6:24,robot12,stop
0:6:26,robot12,mov_cte
0:6:51,robot12,C21
0:6:52,robot12,stop
0:7:21,robot12,mov_cte
0:7:42,robot12,C20
0:7:44,robot12,stop
0:7:52,robot12,mov_cte
0:8:13,robot12,C23
0:8:16,robot12,stop
0:8:19,robot12,end
0:3:19,robot1,start
0:3:19,robot1,stop
0:3:21,robot1,mov_cte
0:3:23,robot1,C1
0:3:25,robot1,stop
0:3:28,robot1,mov_cte
0:3:49,robot1,C4
0:3:51,robot1,stop
0:3:53,robot1,mov_cte
0:4:16,robot1,C9
0:4:17,robot1,stop
0:4:23,robot1,mov_cte
0:4:45,robot1,stop
0:4:45,robot1,mov_cte
0:4:46,robot1,C8
0:4:48,robot1,stop
0:4:50,robot1,mov_cte
0:5:11,robot1,C14
0:5:12,robot1,stop
0:5:19,robot1,mov_cte
0:5:40,robot1,C15
0:5:41,robot1,stop
0:5:47,robot1,mov_cte
0:6:7,robot1,C16
0:6:8,robot1,stop
0:6:13,robot1,mov_cte
0:6:33,robot1,C17
0:6:35,robot1,stop
0:6:40,robot1,mov_cte
0:7:0,robot1,C22
0:7:2,robot1,stop
0:7:10,robot1,mov_cte
0:7:31,robot1,C21
0:7:33,robot1,stop
0:7:35,robot1,mov_cte
0:7:54,robot1,C20
0:7:56,robot1,stop
0:8:2,robot1,mov_cte
0:8:21,robot1,C23
0:8:24,robot1,stop
0:8:26,robot1,end
0:3:35,robot6,start
0:3:35,robot6,stop
0:3:40,robot6,mov_cte
0:3:43,robot6,C1
0:3:47,robot6,stop
0:3:49,robot6,mov_cte
0:4:19,robot6,C4
0:4:21,robot6,stop
0:4:25,robot6,mov_cte
0:4:52,robot6,C9
0:4:54,robot6,stop
0:5:2,robot6,mov_cte
0:5:27,robot6,C8
0:5:29,robot6,stop
0:5:37,robot6,mov_cte
0:6:1,robot6,C14
0:6:3,robot6,stop
0:6:12,robot6,mov_cte
0:6:37,robot6,C15
0:6:39,robot6,stop
0:6:52,robot6,mov_cte
0:7:16,robot6,C16
0:7:18,robot6,stop
0:7:52,robot6,mov_cte
0:8:17,robot6,C17
0:8:20,robot6,stop
0:8:26,robot6,mov_cte
0:8:51,robot6,C22
0:8:53,robot6,stop
0:9:1,robot6,mov_cte
0:9:28,robot6,C21
0:9:30,robot6,stop
0:9:35,robot6,mov_cte
0:9:59,robot6,C20
0:10:1,robot6,stop
0:10:3,robot6,mov_cte
0:10:28,robot6,C23
0:10:32,robot6,stop
0:10:36,robot6,end
0:3:29,robot2,start
0:3:29,robot2,stop
0:3:29,robot2,mov_cte
0:3:32,robot2,C1
0:3:36,robot2,stop
0:3:40,robot2,mov_cte
0:4:17,robot2,C4
0:4:20,robot2,stop
0:4:39,robot2,mov_cte
0:5:20,robot2,C9
0:5:22,robot2,stop
0:5:33,robot2,mov_cte
0:6:14,robot2,C8
0:6:17,robot2,stop
0:6:21,robot2,mov_cte
0:7:0,robot2,C14
0:7:3,robot2,stop
0:7:13,robot2,mov_cte
0:7:53,robot2,C15
0:7:56,robot2,stop
0:8:0,robot2,mov_cte
0:8:38,robot2,C16
0:8:41,robot2,stop
0:8:48,robot2,mov_cte
0:9:29,robot2,C17
0:9:32,robot2,stop
0:9:38,robot2,mov_cte
0:10:18,robot2,C22
0:10:21,robot2,stop
0:10:24,robot2,mov_cte
0:11:5,robot2,C21
0:11:7,robot2,stop
0:11:15,robot2,mov_cte
0:11:38,robot2,stop
0:11:38,robot2,mov_cte
0:11:55,robot2,C20
0:11:58,robot2,stop
0:12:2,robot2,mov_cte
0:12:39,robot2,C23
0:12:45,robot2,stop
0:12:48,robot2,end
0:3:33,robot11,start
0:3:33,robot11,stop
0:3:39,robot11,mov_cte
0:3:40,robot11,C1
0:3:43,robot11,stop
0:3:47,robot11,mov_cte
0:4:11,robot11,C4
0:4:13,robot11,stop
0:4:18,robot11,mov_cte
0:4:43,robot11,C9
0:4:43,robot11,stop
0:4:44,robot11,mov_cte
0:4:45,robot11,stop
0:4:47,robot11,mov_cte
0:5:7,robot11,C15
