Time,Robot,Move
0:0:0,robot1,start
0:0:0,robot1,C1
0:0:0,robot1,stop
0:0:4,robot1,move_cte
0:0:42,robot1,C4
0:0:42,robot1,stop
0:0:46,robot1,move_cte
0:1:24,robot1,C9
0:1:24,robot1,stop
0:1:28,robot1,move_cte
0:2:6,robot1,C8
0:2:6,robot1,stop
0:2:10,robot1,move_cte
0:2:48,robot1,C14
0:2:48,robot1,stop
0:2:52,robot1,move_cte
0:3:30,robot1,C15
0:3:30,robot1,stop
0:3:34,robot1,move_cte
0:4:12,robot1,C16
0:4:12,robot1,stop
0:4:16,robot1,move_cte
0:4:54,robot1,C17
0:4:54,robot1,stop
0:4:58,robot1,move_cte
0:5:36,robot1,C22
0:5:36,robot1,stop
0:5:40,robot1,move_cte
0:6:18,robot1,C21
0:6:18,robot1,stop
0:6:22,robot1,move_cte
0:7:0,robot1,C20
0:7:4,robot1,stop
0:7:8,robot1,move_cte
0:7:46,robot1,C23
0:7:46,robot1,stop
0:7:46,robot1,end
0:0:0,robot2,start
0:0:0,robot2,C1
0:0:0,robot2,stop
0:0:4,robot2,move_cte
0:0:42,robot2,C4
0:0:42,robot2,stop
0:0:46,robot2,move_cte
0:1:24,robot2,C9
0:1:24,robot2,stop
0:1:28,robot2,move_cte
0:2:6,robot2,C8
0:2:6,robot2,stop
0:2:10,robot2,move_cte
0:2:48,robot2,C14
0:2:48,robot2,stop
0:2:52,robot2,move_cte
0:3:30,robot2,C15
0:3:30,robot2,stop
0:3:34,robot2,move_cte
0:4:12,robot2,C16
0:4:12,robot2,stop
0:4:16,robot2,move_cte
0:4:54,robot2,C17
0:4:54,robot2,stop
0:4:58,robot2,move_cte
0:5:36,robot2,C22
0:5:36,robot2,stop
0:5:40,robot2,move_cte
0:6:18,robot2,C21
0:6:18,robot2,stop
0:6:22,robot2,move_cte
0:7:0,robot2,C20
0:7:4,robot2,stop
0:7:8,robot2,move_cte
0:7:46,robot2,C23
0:7:46,robot2,stop
0:7:46,robot2,end
0:0:0,robot3,start
0:0:0,robot3,C1
0:0:0,robot3,stop
0:0:4,robot3,move_cte
0:0:42,robot3,C4
0:0:42,robot3,stop
0:0:46,robot3,move_cte
0:1:24,robot3,C9
0:1:24,robot3,stop
0:1:28,robot3,move_cte
0:2:6,robot3,C8
0:2:6,robot3,stop
0:2:10,robot3,move_cte
0:2:48,robot3,C14
0:2:48,robot3,stop
0:2:52,robot3,move_cte
0:3:30,robot3,C15
0:3:30,robot3,stop
0:3:34,robot3,move_cte
0:4:12,robot3,C16
0:4:12,robot3,stop
0:4:16,robot3,move_cte
0:4:54,robot3,C17
0:4:54,robot3,stop
0:4:58,robot3,move_cte
0:5:36,robot3,C22
0:5:36,robot3,stop
0:5:40,robot3,move_cte
0:6:18,robot3,C21
0:6:18,robot3,stop
0:6:22,robot3,move_cte
0:7:0,robot3,C20
0:7:4,robot3,stop
0:7:8,robot3,move_cte
0:7:46,robot3,C23
0:7:46,robot3,stop
0:7:46,robot3,end
0:0:0,robot4,start
0:0:0,robot4,C1
0:0:0,robot4,stop
0:0:4,robot4,move_cte
0:0:42,robot4,C4
0:0:42,robot4,stop
0:0:46,robot4,move_cte
0:1:24,robot4,C9
0:1:24,robot4,stop
0:1:28,robot4,move_cte
0:2:6,robot4,C8
0:2:6,robot4,stop
0:2:10,robot4,move_cte
0:2:48,robot4,C14
0:2:48,robot4,stop
0:2:52,robot4,move_cte
0:3:30,robot4,C15
0:3:30,robot4,stop
0:3:34,robot4,move_cte
0:4:12,robot4,C16
0:4:12,robot4,stop
0:4:16,robot4,move_cte
0:4:54,robot4,C17
0:4:54,robot4,stop
0:4:58,robot4,move_cte
0:5:36,robot4,C22
0:5:36,robot4,stop
0:5:40,robot4,move_cte
0:6:18,robot4,C21
0:6:18,robot4,stop
0:6:22,robot4,move_cte
0:7:0,robot4,C20
0:7:4,robot4,stop
0:7:8,robot4,move_cte
0:7:46,robot4,C23
0:7:46,robot4,stop
0:7:46,robot4,end
0:0:0,robot5,start
0:0:0,robot5,C1
0:0:0,robot5,stop
0:0:4,robot5,move_cte
0:0:42,robot5,C4
0:0:42,robot5,stop
0:0:46,robot5,move_cte
0:1:24,robot5,C9
0:1:24,robot5,stop
0:1:28,robot5,move_cte
0:2:6,robot5,C8
0:2:6,robot5,stop
0:2:10,robot5,move_cte
0:2:48,robot5,C14
0:2:48,robot5,stop
0:2:52,robot5,move_cte
0:3:30,robot5,C15
0:3:30,robot5,stop
0:3:34,robot5,move_cte
0:4:12,robot5,C16
0:4:12,robot5,stop
0:4:16,robot5,move_cte
0:4:54,robot5,C17
0:4:54,robot5,stop
0:4:58,robot5,move_cte
0:5:36,robot5,C22
0:5:36,robot5,stop
0:5:40,robot5,move_cte
0:6:18,robot5,C21
0:6:18,robot5,stop
0:6:22,robot5,move_cte
0:7:0,robot5,C20
0:7:4,robot5,stop
0:7:8,robot5,move_cte
0:7:46,robot5,C23
0:7:46,robot5,stop
0:7:46,robot5,end
0:0:0,robot6,start
0:0:0,robot6,C1
0:0:0,robot6,stop
0:0:4,robot6,move_cte
0:0:42,robot6,C4
0:0:42,robot6,stop
0:0:46,robot6,move_cte
0:1:24,robot6,C9
0:1:24,robot6,stop
0:1:28,robot6,move_cte
0:2:6,robot6,C8
0:2:6,robot6,stop
0:2:10,robot6,move_cte
0:2:48,robot6,C14
0:2:48,robot6,stop
0:2:52,robot6,move_cte
0:3:30,robot6,C15
0:3:30,robot6,stop
0:3:34,robot6,move_cte
0:4:12,robot6,C16
0:4:12,robot6,stop
0:4:16,robot6,move_cte
0:4:54,robot6,C17
0:4:54,robot6,stop
0:4:58,robot6,move_cte
0:5:36,robot6,C22
0:5:36,robot6,stop
0:5:40,robot6,move_cte
0:6:18,robot6,C21
0:6:18,robot6,stop
0:6:22,robot6,move_cte
0:7:0,robot6,C20
0:7:4,robot6,stop
0:7:8,robot6,move_cte
0:7:46,robot6,C23
0:7:46,robot6,stop
0:7:46,robot6,end
0:0:0,robot7,start
0:0:0,robot7,C1
0:0:0,robot7,stop
0:0:4,robot7,move_cte
0:0:42,robot7,C4
0:0:42,robot7,stop
0:0:46,robot7,move_cte
0:1:24,robot7,C9
0:1:24,robot7,stop
0:1:28,robot7,move_cte
0:2:6,robot7,C8
0:2:6,robot7,stop
0:2:10,robot7,move_cte
0:2:48,robot7,C14
0:2:48,robot7,stop
0:2:52,robot7,move_cte
0:3:30,robot7,C15
0:3:30,robot7,stop
0:3:34,robot7,move_cte
0:4:12,robot7,C16
0:4:12,robot7,stop
0:4:16,robot7,move_cte
0:4:54,robot7,C17
0:4:54,robot7,stop
0:4:58,robot7,move_cte
0:5:36,robot7,C22
0:5:36,robot7,stop
0:5:40,robot7,move_cte
0:6:18,robot7,C21
0:6:18,robot7,stop
0:6:22,robot7,move_cte
0:7:0,robot7,C20
0:7:4,robot7,stop
0:7:8,robot7,move_cte
0:7:46,robot7,C23
0:7:46,robot7,stop
0:7:46,robot7,end
0:0:0,robot8,start
0:0:0,robot8,C1
0:0:0,robot8,stop
0:0:4,robot8,move_cte
0:0:42,robot8,C4
0:0:42,robot8,stop
0:0:46,robot8,move_cte
0:1:24,robot8,C9
0:1:24,robot8,stop
0:1:28,robot8,move_cte
0:2:6,robot8,C8
0:2:6,robot8,stop
0:2:10,robot8,move_cte
0:2:48,robot8,C14
0:2:48,robot8,stop
0:2:52,robot8,move_cte
0:3:30,robot8,C15
0:3:30,robot8,stop
0:3:34,robot8,move_cte
0:4:12,robot8,C16
0:4:12,robot8,stop
0:4:16,robot8,move_cte
0:4:54,robot8,C17
0:4:54,robot8,stop
0:4:58,robot8,move_cte
0:5:36,robot8,C22
0:5:36,robot8,stop
0:5:40,robot8,move_cte
0:6:18,robot8,C21
0:6:18,robot8,stop
0:6:22,robot8,move_cte
0:7:0,robot8,C20
0:7:4,robot8,stop
0:7:8,robot8,move_cte
0:7:46,robot8,C23
0:7:46,robot8,stop
0:7:46,robot8,end
0:0:0,robot9,start
0:0:0,robot9,C1
0:0:0,robot9,stop
0:0:4,robot9,move_cte
0:0:42,robot9,C4
0:0:42,robot9,stop
0:0:46,robot9,move_cte
0:1:24,robot9,C9
0:1:24,robot9,stop
0:1:28,robot9,move_cte
0:2:6,robot9,C8
0:2:6,robot9,stop
0:2:10,robot9,move_cte
0:2:48,robot9,C14
0:2:48,robot9,stop
0:2:52,robot9,move_cte
0:3:30,robot9,C15
0:3:30,robot9,stop
0:3:34,robot9,move_cte
0:4:12,robot9,C16
0:4:12,robot9,stop
0:4:16,robot9,move_cte
0:4:54,robot9,C17
0:4:54,robot9,stop
0:4:58,robot9,move_cte
0:5:36,robot9,C22
0:5:36,robot9,stop
0:5:40,robot9,move_cte
0:6:18,robot9,C21
0:6:18,robot9,stop
0:6:22,robot9,move_cte
0:7:0,robot9,C20
0:7:4,robot9,stop
0:7:8,robot9,move_cte
0:7:46,robot9,C23
0:7:46,robot9,stop
0:7:46,robot9,end
0:0:0,robot10,start
0:0:0,robot10,C1
0:0:0,robot10,stop
0:0:4,robot10,move_cte
0:0:42,robot10,C4
0:0:42,robot10,stop
0:0:46,robot10,move_cte
0:1:24,robot10,C9
0:1:24,robot10,stop
0:1:28,robot10,move_cte
0:2:6,robot10,C8
0:2:6,robot10,stop
0:2:10,robot10,move_cte
0:2:48,robot10,C14
0:2:48,robot10,stop
0:2:52,robot10,move_cte
0:3:30,robot10,C15
0:3:30,robot10,stop
0:3:34,robot10,move_cte
0:4:12,robot10,C16
0:4:12,robot10,stop
0:4:16,robot10,move_cte
0:4:54,robot10,C17
0:4:54,robot10,stop
0:4:58,robot10,move_cte
0:5:36,robot10,C22
0:5:36,robot10,stop
0:5:40,robot10,move_cte
0:6:18,robot10,C21
0:6:18,robot10,stop
0:6:22,robot10,move_cte
0:7:0,robot10,C20
0:7:4,robot10,stop
0:7:8,robot10,move_cte
0:7:46,robot10,C23
0:7:46,robot10,stop
0:7:46,robot10,end
0:0:0,robot11,start
0:0:0,robot11,C1
0:0:0,robot11,stop
0:0:4,robot11,move_cte
0:0:42,robot11,C4
0:0:42,robot11,stop
0:0:46,robot11,move_cte
0:1:24,robot11,C9
0:1:24,robot11,stop
0:1:28,robot11,move_cte
0:2:6,robot11,C8
0:2:6,robot11,stop
0:2:10,robot11,move_cte
0:2:48,robot11,C14
0:2:48,robot11,stop
0:2:52,robot11,move_cte
0:3:30,robot11,C15
0:3:30,robot11,stop
0:3:34,robot11,move_cte
0:4:12,robot11,C16
0:4:12,robot11,stop
0:4:16,robot11,move_cte
0:4:54,robot11,C17
0:4:54,robot11,stop
0:4:58,robot11,move_cte
0:5:36,robot11,C22
0:5:36,robot11,stop
0:5:40,robot11,move_cte
0:6:18,robot11,C21
0:6:18,robot11,stop
0:6:22,robot11,move_cte
0:7:0,robot11,C20
