Time,Robot,Move
218.787,robot1,start
218.787,robot1,stop
219.687,robot1,mov_cte
222.437,robot1,C1
226.986,robot1,stop
229.787,robot1,mov_cte
267.087,robot1,C4
268.587,robot1,stop
278.487,robot1,mov_cte
319.186,robot1,C9
320.787,robot1,stop
327.937,robot1,mov_cte
365.288,robot1,C8
367.037,robot1,stop
377.287,robot1,mov_cte
413.687,robot1,C14
415.837,robot1,stop
418.936,robot1,mov_cte
452.037,robot1,C15
454.037,robot1,stop
458.087,robot1,mov_cte
489.287,robot1,C16
491.337,robot1,stop
495.686,robot1,mov_cte
526.837,robot1,C21
528.637,robot1,stop
530.987,robot1,mov_cte
560.187,robot1,C20
561.937,robot1,stop
565.037,robot1,mov_cte
590.836,robot1,C23
594.337,robot1,stop
598.387,robot1,end
209.012,robot2,start
209.012,robot2,stop
209.363,robot2,mov_cte
212.062,robot2,C1
216.213,robot2,stop
219.763,robot2,mov_cte
257.212,robot2,C4
259.913,robot2,stop
278.813,robot2,mov_cte
320.063,robot2,C9
322.463,robot2,stop
332.563,robot2,mov_cte
373.713,robot2,C8
377.313,robot2,stop
381.063,robot2,mov_cte
420.463,robot2,C14
423.112,robot2,stop
432.663,robot2,mov_cte
472.763,robot2,C15
475.613,robot2,stop
480.463,robot2,mov_cte
518.363,robot2,C16
520.913,robot2,stop
527.663,robot2,mov_cte
568.613,robot2,C17
572.013,robot2,stop
577.963,robot2,mov_cte
617.663,robot2,C22
620.613,robot2,stop
623.763,robot2,mov_cte
664.913,robot2,C21
667.013,robot2,stop
675.363,robot2,mov_cte
697.663,robot2,stop
697.963,robot2,mov_cte
715.163,robot2,C20
717.713,robot2,stop
722.263,robot2,mov_cte
758.663,robot2,C23
764.913,robot2,stop
768.063,robot2,end
194.963,robot3,start
194.963,robot3,stop
201.063,robot3,mov_cte
203.763,robot3,C1
208.713,robot3,stop
211.362,robot3,mov_cte
232.913,robot3,C4
234.863,robot3,stop
236.863,robot3,mov_cte
260.162,robot3,C9
261.363,robot3,stop
263.463,robot3,mov_cte
288.013,robot3,C8
289.663,robot3,stop
291.963,robot3,mov_cte
316.063,robot3,C14
317.863,robot3,stop
323.263,robot3,mov_cte
347.363,robot3,C15
348.863,robot3,stop
351.163,robot3,mov_cte
372.063,robot3,C16
373.663,robot3,stop
376.063,robot3,mov_cte
398.063,robot3,C17
399.663,robot3,stop
403.663,robot3,mov_cte
427.563,robot3,C22
429.162,robot3,stop
430.762,robot3,mov_cte
454.413,robot3,stop
455.163,robot3,mov_cte
457.663,robot3,C21
459.263,robot3,stop
461.463,robot3,mov_cte
482.563,robot3,C20
486.463,robot3,stop
489.863,robot3,mov_cte
491.063,robot3,stop
491.913,robot3,mov_cte
510.763,robot3,C23
514.162,robot3,stop
517.213,robot3,end
195.372,robot4,start
195.372,robot4,stop
204.022,robot4,mov_cte
206.772,robot4,C1
210.772,robot4,stop
217.772,robot4,mov_cte
239.122,robot4,C4
240.871,robot4,stop
244.822,robot4,mov_cte
268.722,robot4,C9
270.072,robot4,stop
275.022,robot4,mov_cte
299.573,robot4,C8
301.872,robot4,stop
308.222,robot4,mov_cte
331.872,robot4,C14
333.271,robot4,stop
334.822,robot4,mov_cte
359.922,robot4,C15
361.672,robot4,stop
363.772,robot4,mov_cte
385.121,robot4,C16
386.972,robot4,stop
392.472,robot4,mov_cte
414.422,robot4,C17
416.272,robot4,stop
418.322,robot4,mov_cte
445.522,robot4,C22
447.571,robot4,stop
449.722,robot4,mov_cte
474.072,robot4,C21
475.672,robot4,stop
480.521,robot4,mov_cte
503.072,robot4,C20
504.772,robot4,stop
506.622,robot4,mov_cte
530.472,robot4,C23
533.771,robot4,stop
536.922,robot4,end
193.279,robot5,start
193.279,robot5,stop
205.982,robot5,mov_cte
208.682,robot5,C1
212.532,robot5,stop
214.282,robot5,mov_cte
238.081,robot5,C4
239.632,robot5,stop
246.082,robot5,mov_cte
266.082,robot5,C9
267.332,robot5,stop
268.782,robot5,mov_cte
290.682,robot5,C8
292.532,robot5,stop
295.282,robot5,mov_cte
315.381,robot5,C14
316.882,robot5,stop
318.381,robot5,mov_cte
339.532,robot5,C15
341.031,robot5,stop
342.682,robot5,mov_cte
362.382,robot5,C16
364.232,robot5,stop
366.182,robot5,mov_cte
385.332,robot5,C17
387.332,robot5,stop
389.282,robot5,mov_cte
409.632,robot5,C22
412.082,robot5,stop
413.982,robot5,mov_cte
434.082,robot5,C21
435.731,robot5,stop
438.182,robot5,mov_cte
457.282,robot5,C20
458.732,robot5,stop
462.782,robot5,mov_cte
481.432,robot5,C23
484.332,robot5,stop
487.732,robot5,end
