Time,Robot,Move
0:3:39,robot1,start
0:3:39,robot1,stop
0:3:40,robot1,mov_cte
0:3:42,robot1,C1
0:3:47,robot1,stop
0:3:50,robot1,mov_cte
0:4:27,robot1,C4
0:4:29,robot1,stop
0:4:38,robot1,mov_cte
0:5:19,robot1,C9
0:5:21,robot1,stop
0:5:28,robot1,mov_cte
0:6:5,robot1,C8
0:6:7,robot1,stop
0:6:17,robot1,mov_cte
0:6:54,robot1,C14
0:6:56,robot1,stop
0:6:59,robot1,mov_cte
0:7:32,robot1,C15
0:7:34,robot1,stop
0:7:38,robot1,mov_cte
0:8:9,robot1,C16
0:8:11,robot1,stop
0:8:16,robot1,mov_cte
0:8:47,robot1,C21
0:8:49,robot1,stop
0:8:51,robot1,mov_cte
0:9:20,robot1,C20
0:9:22,robot1,stop
0:9:25,robot1,mov_cte
0:9:51,robot1,C23
0:9:54,robot1,stop
0:9:58,robot1,end
0:3:29,robot2,start
0:3:29,robot2,stop
0:3:29,robot2,mov_cte
0:3:32,robot2,C1
0:3:36,robot2,stop
0:3:40,robot2,mov_cte
0:4:17,robot2,C4
0:4:20,robot2,stop
0:4:39,robot2,mov_cte
0:5:20,robot2,C9
0:5:22,robot2,stop
0:5:33,robot2,mov_cte
0:6:14,robot2,C8
0:6:17,robot2,stop
0:6:21,robot2,mov_cte
0:7:0,robot2,C14
0:7:3,robot2,stop
0:7:13,robot2,mov_cte
0:7:53,robot2,C15
0:7:56,robot2,stop
0:8:0,robot2,mov_cte
0:8:38,robot2,C16
0:8:41,robot2,stop
0:8:48,robot2,mov_cte
0:9:29,robot2,C17
0:9:32,robot2,stop
0:9:38,robot2,mov_cte
0:10:18,robot2,C22
0:10:21,robot2,stop
0:10:24,robot2,mov_cte
0:11:5,robot2,C21
0:11:7,robot2,stop
0:11:15,robot2,mov_cte
0:11:38,robot2,stop
0:11:38,robot2,mov_cte
0:11:55,robot2,C20
0:11:58,robot2,stop
0:12:2,robot2,mov_cte
0:12:39,robot2,C23
0:12:45,robot2,stop
0:12:48,robot2,end
0:3:15,robot3,start
0:3:15,robot3,stop
0:3:21,robot3,mov_cte
0:3:24,robot3,C1
0:3:29,robot3,stop
0:3:31,robot3,mov_cte
0:3:53,robot3,C4
0:3:55,robot3,stop
0:3:57,robot3,mov_cte
0:4:20,robot3,C9
0:4:21,robot3,stop
0:4:23,robot3,mov_cte
0:4:48,robot3,C8
0:4:50,robot3,stop
0:4:52,robot3,mov_cte
0:5:16,robot3,C14
0:5:18,robot3,stop
0:5:23,robot3,mov_cte
0:5:47,robot3,C15
0:5:49,robot3,stop
0:5:51,robot3,mov_cte
0:6:12,robot3,C16
0:6:14,robot3,stop
0:6:16,robot3,mov_cte
0:6:38,robot3,C17
0:6:40,robot3,stop
0:6:44,robot3,mov_cte
0:7:8,robot3,C22
0:7:9,robot3,stop
0:7:11,robot3,mov_cte
0:7:34,robot3,stop
0:7:35,robot3,mov_cte
0:7:38,robot3,C21
0:7:39,robot3,stop
0:7:41,robot3,mov_cte
0:8:3,robot3,C20
0:8:6,robot3,stop
0:8:10,robot3,mov_cte
0:8:11,robot3,stop
0:8:12,robot3,mov_cte
0:8:31,robot3,C23
0:8:34,robot3,stop
0:8:37,robot3,end
0:3:15,robot4,start
0:3:15,robot4,stop
0:3:24,robot4,mov_cte
0:3:27,robot4,C1
0:3:31,robot4,stop
0:3:38,robot4,mov_cte
0:3:59,robot4,C4
0:4:1,robot4,stop
0:4:5,robot4,mov_cte
0:4:29,robot4,C9
0:4:30,robot4,stop
0:4:35,robot4,mov_cte
0:4:60,robot4,C8
0:5:2,robot4,stop
0:5:8,robot4,mov_cte
0:5:32,robot4,C14
0:5:33,robot4,stop
0:5:35,robot4,mov_cte
0:5:60,robot4,C15
0:6:2,robot4,stop
0:6:4,robot4,mov_cte
0:6:25,robot4,C16
0:6:27,robot4,stop
0:6:32,robot4,mov_cte
0:6:54,robot4,C17
0:6:56,robot4,stop
0:6:58,robot4,mov_cte
0:7:26,robot4,C22
0:7:28,robot4,stop
0:7:30,robot4,mov_cte
0:7:54,robot4,C21
0:7:56,robot4,stop
0:8:1,robot4,mov_cte
0:8:23,robot4,C20
0:8:25,robot4,stop
0:8:27,robot4,mov_cte
0:8:50,robot4,C23
0:8:54,robot4,stop
0:8:57,robot4,end
0:3:13,robot5,start
0:3:13,robot5,stop
0:3:26,robot5,mov_cte
0:3:29,robot5,C1
0:3:33,robot5,stop
0:3:34,robot5,mov_cte
0:3:58,robot5,C4
0:3:60,robot5,stop
0:4:6,robot5,mov_cte
0:4:26,robot5,C9
0:4:27,robot5,stop
0:4:29,robot5,mov_cte
0:4:51,robot5,C8
0:4:53,robot5,stop
0:4:55,robot5,mov_cte
0:5:15,robot5,C14
0:5:17,robot5,stop
0:5:18,robot5,mov_cte
0:5:40,robot5,C15
0:5:41,robot5,stop
0:5:43,robot5,mov_cte
0:6:2,robot5,C16
0:6:4,robot5,stop
0:6:6,robot5,mov_cte
0:6:25,robot5,C17
0:6:27,robot5,stop
0:6:29,robot5,mov_cte
0:6:50,robot5,C22
0:6:52,robot5,stop
0:6:54,robot5,mov_cte
0:7:14,robot5,C21
0:7:16,robot5,stop
0:7:18,robot5,mov_cte
0:7:37,robot5,C20
0:7:39,robot5,stop
0:7:43,robot5,mov_cte
0:8:1,robot5,C23
0:8:4,robot5,stop
0:8:8,robot5,end
