Time,Robot,Move
193.279,robot5,start
193.279,robot5,stop
205.982,robot5,mov_cte
208.682,robot5,C1
212.532,robot5,stop
214.282,robot5,mov_cte
238.081,robot5,C4
239.632,robot5,stop
246.082,robot5,mov_cte
266.082,robot5,C9
267.332,robot5,stop
268.782,robot5,mov_cte
290.682,robot5,C8
292.532,robot5,stop
295.282,robot5,mov_cte
315.381,robot5,C14
316.882,robot5,stop
318.381,robot5,mov_cte
339.532,robot5,C15
341.031,robot5,stop
342.682,robot5,mov_cte
362.382,robot5,C16
364.232,robot5,stop
366.182,robot5,mov_cte
385.332,robot5,C17
387.332,robot5,stop
389.282,robot5,mov_cte
409.632,robot5,C22
412.082,robot5,stop
413.982,robot5,mov_cte
434.082,robot5,C21
435.731,robot5,stop
438.182,robot5,mov_cte
457.282,robot5,C20
458.732,robot5,stop
462.782,robot5,mov_cte
481.432,robot5,C23
484.332,robot5,stop
487.732,robot5,end
