Time,Robot,Move
0:3:14,robot9,Mario_Cell
0:3:14,robot9,stop
0:3:25,robot9,aceleración
0:3:25,robot9,mov_cte
0:3:41,robot9,Cafe_Palantino
0:3:45,robot9,desacelaración
0:3:45,robot9,stop
0:3:53,robot9,aceleración
0:3:53,robot9,mov_cte
0:4:30,robot9,LiliPink
0:4:33,robot9,desacelaración
0:4:33,robot9,stop
0:4:38,robot9,aceleración
0:4:38,robot9,mov_cte
0:4:38,robot9,aceleración
0:4:38,robot9,mov_cte
0:4:40,robot9,aceleración
0:4:40,robot9,mov_cte
0:4:41,robot9,aceleración
0:4:41,robot9,mov_cte
0:4:45,robot9,aceleración
0:4:45,robot9,mov_cte
0:4:50,robot9,aceleración
0:4:50,robot9,mov_cte
0:5:17,robot9,Confam_drog
0:5:19,robot9,desacelaración
0:5:19,robot9,stop
0:5:26,robot9,aceleración
0:5:26,robot9,mov_cte
0:5:28,robot9,aceleración
0:5:28,robot9,mov_cte
0:5:34,robot9,aceleración
0:5:34,robot9,mov_cte
0:6:5,robot9,Exito
0:6:15,robot9,aceleración
0:6:15,robot9,mov_cte
0:6:20,robot9,aceleración
0:6:20,robot9,mov_cte
0:6:36,robot9,desacelaración
0:6:36,robot9,aceleración
0:6:36,robot9,mov_cte
0:6:37,robot9,desacelaración
0:6:37,robot9,stop
