Time,Robot,Move
00:00:01,robot1, Mario_Cell
00:00:01,robot1, stop
00:00:02,robot1, mov_cte
00:00:20,robot1, Cafe_Palantino
00:00:20,robot1, stop
00:00:24,robot1, mov_cte
00:01:05,robot1, LiliPink
00:01:05,robot1, stop
00:01:09,robot1, mov_cte
00:01:49,robot1, Confam_drog
00:01:49,robot1, stop
00:01:53,robot1, mov_cte
00:02:34,robot1, Exito
00:02:34,robot1, stop
00:02:38,robot1, mov_cte
00:03:14,robot1, Sweet
00:03:14,robot1, stop
00:03:14,robot1, end

10:00:00,robot1, Mario_Cell
10:00:00,robot1, stop
10:00:01,robot1, mov_cte
10:00:20,robot1, Cafe_Palantino
10:00:20,robot1, stop
10:00:24,robot1, mov_cte
10:01:05,robot1, LiliPink
10:01:05,robot1, stop
10:01:09,robot1, mov_cte
10:01:49,robot1, Confam_drog
10:01:49,robot1, stop
10:01:53,robot1, mov_cte
10:02:34,robot1, Exito
10:02:34,robot1, stop
10:02:38,robot1, mov_cte
10:03:14,robot1, Sweet
10:03:14,robot1, stop
10:03:14,robot1, end

00:00:00,robot2, Mario_Cell
00:00:00,robot2, stop
00:00:01,robot2, mov_cte
00:00:20,robot2, Cafe_Palantino
00:00:20,robot2, stop
00:00:24,robot2, mov_cte
00:01:05,robot2, LiliPink
00:01:05,robot2, stop
00:01:09,robot2, mov_cte
00:01:49,robot2, Confam_drog
00:01:49,robot2, stop
00:01:53,robot2, mov_cte
00:02:34,robot2, Exito
00:02:34,robot2, stop
00:02:38,robot2, mov_cte
00:03:14,robot2, Sweet
00:03:14,robot2, stop
00:03:14,robot2, end

10:00:00,robot2, Mario_Cell
10:00:00,robot2, stop
10:00:01,robot2, mov_cte
10:00:20,robot2, Cafe_Palantino
10:00:20,robot2, stop
10:00:24,robot2, mov_cte
10:01:05,robot2, LiliPink
10:01:05,robot2, stop
10:01:09,robot2, mov_cte
10:01:49,robot2, Confam_drog
10:01:49,robot2, stop
10:01:53,robot2, mov_cte
10:02:34,robot2, Exito
10:02:34,robot2, stop
10:02:38,robot2, mov_cte
10:03:14,robot2, Sweet
10:03:14,robot2, stop
10:03:14,robot2, end

00:00:00,robot3, Mario_Cell
00:00:00,robot3, stop
00:00:01,robot3, mov_cte
00:00:20,robot3, Cafe_Palantino
00:00:20,robot3, stop
00:00:24,robot3, mov_cte
00:01:05,robot3, LiliPink
00:01:05,robot3, stop
00:01:09,robot3, mov_cte
00:01:49,robot3, Confam_drog
00:01:49,robot3, stop
00:01:53,robot3, mov_cte
00:02:34,robot3, Exito
00:02:34,robot3, stop
00:02:38,robot3, mov_cte
00:03:14,robot3, Sweet
00:03:14,robot3, stop
00:03:14,robot3, end

10:00:00,robot3, Mario_Cell
10:00:00,robot3, stop
10:00:01,robot3, mov_cte
10:00:20,robot3, Cafe_Palantino
10:00:20,robot3, stop
10:00:24,robot3, mov_cte
10:01:05,robot3, LiliPink
10:01:05,robot3, stop
10:01:09,robot3, mov_cte
10:01:49,robot3, Confam_drog
10:01:49,robot3, stop
10:01:53,robot3, mov_cte
10:02:34,robot3, Exito
10:02:34,robot3, stop
10:02:38,robot3, mov_cte
10:03:14,robot3, Sweet
10:03:14,robot3, stop
10:03:14,robot3, end

00:00:00,robot4, Mario_Cell
00:00:00,robot4, stop
00:00:01,robot4, mov_cte
00:00:20,robot4, Cafe_Palantino
00:00:20,robot4, stop
00:00:24,robot4, mov_cte
00:01:05,robot4, LiliPink
00:01:05,robot4, stop
00:01:09,robot4, mov_cte
00:01:49,robot4, Confam_drog
00:01:49,robot4, stop
00:01:53,robot4, mov_cte
00:02:34,robot4, Exito
00:02:34,robot4, stop
00:02:38,robot4, mov_cte
00:03:14,robot4, Sweet
00:03:14,robot4, stop
00:03:14,robot4, end

10:00:00,robot4, Mario_Cell
10:00:00,robot4, stop
10:00:01,robot4, mov_cte
10:00:20,robot4, Cafe_Palantino
10:00:20,robot4, stop
10:00:24,robot4, mov_cte
10:01:05,robot4, LiliPink
10:01:05,robot4, stop
10:01:09,robot4, mov_cte
10:01:49,robot4, Confam_drog
10:01:49,robot4, stop
10:01:53,robot4, mov_cte
10:02:34,robot4, Exito
10:02:34,robot4, stop
10:02:38,robot4, mov_cte
10:03:14,robot4, Sweet
10:03:14,robot4, stop
10:03:14,robot4, end

00:00:00,robot5, Mario_Cell
00:00:00,robot5, stop
00:00:00,robot5, mov_cte
00:00:20,robot5, Cafe_Palantino
00:00:20,robot5, stop
