Time,Robot,Move
0:3:15,robot1,Mario_Cell
0:3:15,robot1,stop
0:3:15,robot1,aceleración
0:3:15,robot1,mov_cte
0:3:27,robot1,Cafe_Palantino
0:3:29,robot1,desacelaración
0:3:29,robot1,stop
0:3:34,robot1,aceleración
0:3:34,robot1,mov_cte
0:3:43,robot1,desacelaración
0:3:44,robot1,aceleración
0:3:44,robot1,mov_cte
0:3:54,robot1,desacelaración
0:3:55,robot1,aceleración
0:3:55,robot1,mov_cte
0:4:4,robot1,LiliPink
0:4:5,robot1,desacelaración
0:4:5,robot1,stop
0:4:11,robot1,aceleración
0:4:12,robot1,mov_cte
0:4:16,robot1,desacelaración
0:4:18,robot1,aceleración
0:4:18,robot1,mov_cte
0:4:40,robot1,Confam_drog
0:4:42,robot1,desacelaración
0:4:42,robot1,stop
0:4:44,robot1,aceleración
0:4:44,robot1,mov_cte
0:5:12,robot1,Exito
0:5:13,robot1,desacelaración
0:5:14,robot1,stop
0:5:15,robot1,aceleración
0:5:16,robot1,mov_cte
0:5:23,robot1,desacelaración
0:5:26,robot1,aceleración
0:5:26,robot1,mov_cte
0:5:32,robot1,desacelaración
0:5:34,robot1,aceleración
0:5:35,robot1,mov_cte
0:5:45,robot1,Sweet
0:5:46,robot1,desacelaración
0:5:47,robot1,stop
0:5:51,robot1,aceleración
0:5:51,robot1,stop
0:3:18,robot2,Mario_Cell
0:3:18,robot2,stop
0:3:22,robot2,aceleración
0:3:22,robot2,mov_cte
0:3:39,robot2,Cafe_Palantino
0:3:42,robot2,desacelaración
0:3:42,robot2,stop
0:3:48,robot2,aceleración
0:3:48,robot2,mov_cte
0:4:26,robot2,LiliPink
0:4:29,robot2,desacelaración
0:4:29,robot2,stop
0:4:35,robot2,aceleración
0:4:36,robot2,mov_cte
0:4:38,robot2,aceleración
0:4:38,robot2,mov_cte
0:4:39,robot2,aceleración
0:4:39,robot2,mov_cte
0:4:41,robot2,aceleración
0:4:41,robot2,mov_cte
0:4:41,robot2,aceleración
0:4:42,robot2,mov_cte
0:4:55,robot2,desacelaración
0:4:55,robot2,stop
0:5:3,robot2,aceleración
0:5:3,robot2,mov_cte
0:5:22,robot2,Confam_drog
0:5:24,robot2,desacelaración
0:5:24,robot2,stop
0:5:33,robot2,aceleración
0:5:33,robot2,mov_cte
0:5:35,robot2,aceleración
0:5:35,robot2,mov_cte
0:5:43,robot2,aceleración
0:5:43,robot2,mov_cte
0:5:43,robot2,aceleración
0:5:43,robot2,mov_cte
0:5:44,robot2,aceleración
0:5:44,robot2,mov_cte
0:5:44,robot2,aceleración
0:5:44,robot2,mov_cte
0:5:44,robot2,aceleración
0:5:44,robot2,mov_cte
0:5:55,robot2,aceleración
0:5:55,robot2,mov_cte
0:5:57,robot2,aceleración
0:5:57,robot2,mov_cte
0:6:1,robot2,Exito
0:6:3,robot2,desacelaración
0:6:3,robot2,stop
0:6:6,robot2,aceleración
0:6:6,robot2,mov_cte
0:6:12,robot2,aceleración
0:6:12,robot2,mov_cte
0:6:14,robot2,aceleración
0:6:14,robot2,mov_cte
0:6:16,robot2,aceleración
0:6:16,robot2,mov_cte
0:6:16,robot2,aceleración
0:6:16,robot2,mov_cte
0:6:24,robot2,aceleración
0:6:24,robot2,mov_cte
0:6:26,robot2,aceleración
0:6:26,robot2,mov_cte
0:6:32,robot2,Sweet
0:6:35,robot2,desacelaración
0:6:35,robot2,stop
0:3:20,robot3,Mario_Cell
0:3:24,robot3,Mario_Cell
0:3:24,robot3,stop
0:3:25,robot3,aceleración
0:3:26,robot3,mov_cte
0:3:42,robot3,Cafe_Palantino
0:3:44,robot3,desacelaración
0:3:44,robot3,stop
0:3:56,robot3,aceleración
0:3:56,robot3,mov_cte
0:4:6,robot3,aceleración
0:4:6,robot3,mov_cte
0:4:6,robot3,aceleración
0:4:6,robot3,mov_cte
0:4:9,robot3,aceleración
0:4:9,robot3,mov_cte
0:4:30,robot3,LiliPink
0:4:33,robot3,desacelaración
0:4:33,robot3,stop
0:4:36,robot3,aceleración
0:4:37,robot3,mov_cte
0:4:39,robot3,aceleración
0:4:40,robot3,mov_cte
0:4:40,robot3,aceleración
0:4:40,robot3,mov_cte
0:4:40,robot3,aceleración
0:4:40,robot3,mov_cte
0:4:50,robot3,aceleración
0:4:50,robot3,mov_cte
0:4:50,robot3,aceleración
0:4:50,robot3,mov_cte
0:4:55,robot3,aceleración
0:4:55,robot3,mov_cte
0:4:55,robot3,aceleración
0:4:55,robot3,mov_cte
0:4:56,robot3,aceleración
0:4:56,robot3,mov_cte
0:4:56,robot3,aceleración
0:4:57,robot3,mov_cte
0:4:57,robot3,aceleración
0:4:57,robot3,mov_cte
0:4:57,robot3,aceleración
0:4:57,robot3,mov_cte
0:5:5,robot3,Confam_drog
0:5:7,robot3,desacelaración
0:5:7,robot3,stop
0:5:11,robot3,aceleración
0:5:11,robot3,mov_cte
0:5:12,robot3,aceleración
0:5:12,robot3,mov_cte
0:5:12,robot3,aceleración
0:5:12,robot3,mov_cte
0:5:18,robot3,aceleración
0:5:18,robot3,mov_cte
0:5:18,robot3,aceleración
0:5:18,robot3,mov_cte
0:5:19,robot3,aceleración
0:5:19,robot3,mov_cte
0:5:19,robot3,aceleración
0:5:19,robot3,mov_cte
0:5:20,robot3,aceleración
0:5:20,robot3,mov_cte
0:5:20,robot3,aceleración
0:5:20,robot3,mov_cte
0:5:21,robot3,aceleración
0:5:21,robot3,mov_cte
0:5:21,robot3,aceleración
0:5:22,robot3,mov_cte
0:5:34,robot3,Exito
0:5:35,robot3,desacelaración
0:5:35,robot3,stop
0:5:38,robot3,aceleración
0:5:38,robot3,mov_cte
0:5:38,robot3,aceleración
0:5:38,robot3,mov_cte
0:5:38,robot3,aceleración
0:5:38,robot3,mov_cte
0:5:39,robot3,aceleración
0:5:39,robot3,mov_cte
0:5:39,robot3,aceleración
0:5:39,robot3,mov_cte
0:5:47,robot3,aceleración
0:5:47,robot3,mov_cte
0:5:47,robot3,aceleración
0:5:47,robot3,mov_cte
0:5:57,robot3,Sweet
0:5:60,robot3,desacelaración
0:5:60,robot3,stop
0:3:10,robot4,Mario_Cell
0:3:10,robot4,stop
0:3:19,robot4,aceleración
0:3:19,robot4,mov_cte
0:3:29,robot4,aceleración
0:3:29,robot4,mov_cte
0:3:32,robot4,aceleración
0:3:32,robot4,mov_cte
0:3:32,robot4,aceleración
0:3:32,robot4,mov_cte
0:3:33,robot4,aceleración
0:3:33,robot4,mov_cte
0:3:37,robot4,Cafe_Palantino
0:3:40,robot4,desacelaración
0:3:40,robot4,stop
0:3:46,robot4,aceleración
0:3:47,robot4,mov_cte
0:4:25,robot4,LiliPink
0:4:28,robot4,desacelaración
0:4:28,robot4,stop
0:4:34,robot4,aceleración
0:4:34,robot4,mov_cte
0:4:37,robot4,aceleración
0:4:37,robot4,mov_cte
0:4:37,robot4,aceleración
0:4:38,robot4,mov_cte
0:4:42,robot4,aceleración
0:4:42,robot4,mov_cte
0:4:59,robot4,aceleración
0:4:59,robot4,mov_cte
0:5:7,robot4,aceleración
0:5:7,robot4,mov_cte
0:5:8,robot4,aceleración
