Time,Robot,Move
0:3:13,robot1,start
0:3:13,robot1,stop
0:3:13,robot1,aceleración
0:3:13,robot1,mov_cte
0:3:15,robot1,Mario_Cell
0:3:15,robot1,stop
0:3:15,robot1,aceleración
0:3:15,robot1,mov_cte
0:3:27,robot1,Cafe_Palantino
0:3:29,robot1,desacelaración
0:3:29,robot1,stop
0:3:34,robot1,aceleración
0:3:34,robot1,mov_cte
0:3:43,robot1,desacelaración
0:3:44,robot1,aceleración
0:3:44,robot1,mov_cte
0:3:54,robot1,desacelaración
0:3:55,robot1,aceleración
0:3:55,robot1,mov_cte
0:4:4,robot1,LiliPink
0:4:5,robot1,desacelaración
0:4:5,robot1,stop
0:4:11,robot1,aceleración
0:4:12,robot1,mov_cte
0:4:16,robot1,desacelaración
0:4:18,robot1,aceleración
0:4:18,robot1,mov_cte
0:4:40,robot1,Confam_drog
0:4:42,robot1,desacelaración
0:4:42,robot1,stop
0:4:44,robot1,aceleración
0:4:44,robot1,mov_cte
0:5:12,robot1,Exito
0:5:13,robot1,desacelaración
0:5:14,robot1,stop
0:5:15,robot1,aceleración
0:5:16,robot1,mov_cte
0:5:23,robot1,desacelaración
0:5:26,robot1,aceleración
0:5:26,robot1,mov_cte
0:5:32,robot1,desacelaración
0:5:34,robot1,aceleración
0:5:35,robot1,mov_cte
0:5:45,robot1,Sweet
0:5:46,robot1,desacelaración
0:5:47,robot1,stop
0:5:51,robot1,aceleración
0:5:51,robot1,stop
0:5:51,robot1,end

