Time,Robot,Move
197.883,robot1,moving
197.903,robot1,moving
197.923,robot1,moving
197.943,robot1,moving
197.963,robot1,moving
197.983,robot1,moving
198.003,robot1,moving
198.023,robot1,moving
198.043,robot1,moving
198.063,robot1,moving
198.083,robot1,moving
198.103,robot1,moving
198.123,robot1,moving
198.143,robot1,moving
198.163,robot1,moving
198.183,robot1,moving
198.203,robot1,moving
198.232,robot1,moving
198.243,robot1,moving
198.263,robot1,moving
198.283,robot1,moving
198.303,robot1,moving
198.323,robot1,moving
198.343,robot1,moving
198.363,robot1,moving
198.383,robot1,moving
198.403,robot1,moving
198.423,robot1,moving
198.443,robot1,moving
198.463,robot1,moving
198.483,robot1,moving
198.503,robot1,moving
198.523,robot1,moving
198.543,robot1,moving
198.563,robot1,moving
198.583,robot1,moving
198.603,robot1,moving
198.623,robot1,moving
198.643,robot1,moving
198.663,robot1,moving
198.683,robot1,moving
198.703,robot1,moving
198.723,robot1,moving
198.743,robot1,moving
198.763,robot1,moving
198.783,robot1,moving
198.805,robot1,moving
198.823,robot1,moving
198.843,robot1,moving
198.863,robot1,moving
198.883,robot1,moving
198.903,robot1,moving
198.923,robot1,moving
198.943,robot1,moving
198.963,robot1,moving
198.983,robot1,moving
199.003,robot1,moving
199.023,robot1,moving
199.043,robot1,moving
199.063,robot1,moving
199.083,robot1,moving
199.103,robot1,moving
199.123,robot1,moving
199.143,robot1,moving
199.163,robot1,moving
199.183,robot1,moving
199.203,robot1,moving
199.223,robot1,moving
199.243,robot1,moving
199.263,robot1,moving
199.283,robot1,moving
199.303,robot1,moving
199.323,robot1,moving
199.343,robot1,moving
199.363,robot1,moving
199.383,robot1,moving
199.403,robot1,moving
199.423,robot1,moving
199.443,robot1,moving
199.463,robot1,moving
199.483,robot1,moving
199.503,robot1,moving
199.523,robot1,moving
199.543,robot1,moving
199.563,robot1,moving
199.603,robot1,moving
199.623,robot1,moving
199.643,robot1,moving
199.663,robot1,moving
199.683,robot1,moving
199.703,robot1,moving
199.723,robot1,moving
199.763,robot1,moving
199.783,robot1,moving
199.803,robot1,moving
199.823,robot1,moving
199.843,robot1,moving
199.863,robot1,moving
199.883,robot1,moving
199.903,robot1,moving
199.923,robot1,moving
