Time,Robot,Move
206.638,robot1,moving
206.648,robot1,moving
206.658,robot1,moving
206.668,robot1,moving
206.678,robot1,moving
206.688,robot1,moving
206.698,robot1,moving
206.708,robot1,moving
206.718,robot1,moving
206.728,robot1,moving
206.738,robot1,moving
206.748,robot1,moving
206.758,robot1,moving
206.768,robot1,moving
206.778,robot1,moving
206.788,robot1,moving
206.798,robot1,moving
206.808,robot1,moving
206.818,robot1,moving
206.828,robot1,moving
206.838,robot1,moving
206.848,robot1,moving
206.858,robot1,moving
206.868,robot1,moving
206.878,robot1,moving
206.888,robot1,moving
206.898,robot1,moving
206.908,robot1,moving
206.918,robot1,moving
206.928,robot1,moving
206.938,robot1,moving
206.948,robot1,moving
206.958,robot1,moving
206.968,robot1,moving
206.978,robot1,moving
206.988,robot1,moving
206.998,robot1,moving
207.018,robot1,moving
207.028,robot1,moving
207.038,robot1,moving
207.048,robot1,moving
207.058,robot1,moving
207.068,robot1,moving
207.078,robot1,moving
207.088,robot1,moving
207.098,robot1,moving
207.108,robot1,moving
207.118,robot1,moving
207.128,robot1,moving
207.138,robot1,moving
207.148,robot1,moving
207.158,robot1,moving
207.168,robot1,moving
207.178,robot1,moving
207.188,robot1,moving
207.198,robot1,moving
207.208,robot1,moving
207.218,robot1,moving
207.228,robot1,moving
207.238,robot1,moving
207.248,robot1,moving
207.258,robot1,moving
207.268,robot1,moving
207.278,robot1,moving
207.288,robot1,moving
207.298,robot1,moving
207.308,robot1,moving
207.318,robot1,moving
207.328,robot1,moving
207.338,robot1,moving
207.348,robot1,moving
207.358,robot1,moving
207.368,robot1,moving
207.378,robot1,moving
207.388,robot1,moving
207.4,robot1,moving
207.408,robot1,moving
207.418,robot1,moving
207.428,robot1,moving
207.438,robot1,moving
207.448,robot1,moving
207.458,robot1,moving
207.468,robot1,moving
207.478,robot1,moving
207.488,robot1,moving
207.498,robot1,moving
207.508,robot1,moving
207.518,robot1,moving
207.528,robot1,moving
207.538,robot1,moving
207.548,robot1,moving
207.558,robot1,moving
207.568,robot1,moving
207.578,robot1,moving
207.588,robot1,moving
207.598,robot1,moving
207.608,robot1,moving
207.618,robot1,moving
207.628,robot1,moving
207.638,robot1,moving
207.648,robot1,moving
207.658,robot1,moving
207.668,robot1,moving
207.678,robot1,moving
207.688,robot1,moving
207.698,robot1,moving
207.708,robot1,moving
207.718,robot1,moving
207.728,robot1,moving
207.738,robot1,moving
207.748,robot1,moving
207.758,robot1,moving
207.768,robot1,moving
207.778,robot1,moving
207.788,robot1,moving
207.798,robot1,moving
207.808,robot1,moving
207.818,robot1,moving
