Time,Robot,Move
215.698,robot1,moving
215.7,robot1,moving
215.701,robot1,moving
215.702,robot1,moving
215.704,robot1,moving
215.705,robot1,moving
215.706,robot1,moving
215.707,robot1,moving
215.708,robot1,moving
215.709,robot1,moving
215.71,robot1,moving
215.711,robot1,moving
215.712,robot1,moving
215.713,robot1,moving
215.714,robot1,moving
215.715,robot1,moving
215.716,robot1,moving
215.717,robot1,moving
215.718,robot1,moving
215.719,robot1,moving
215.721,robot1,moving
215.722,robot1,moving
215.723,robot1,moving
215.724,robot1,moving
215.725,robot1,moving
215.726,robot1,moving
215.727,robot1,moving
215.728,robot1,moving
215.729,robot1,moving
215.73,robot1,moving
215.731,robot1,moving
215.732,robot1,moving
215.733,robot1,moving
215.734,robot1,moving
215.735,robot1,moving
215.736,robot1,moving
215.738,robot1,moving
215.739,robot1,moving
215.74,robot1,moving
215.741,robot1,moving
215.742,robot1,moving
215.743,robot1,moving
215.744,robot1,moving
215.749,robot1,moving
215.75,robot1,moving
215.752,robot1,moving
215.753,robot1,moving
215.755,robot1,moving
215.756,robot1,moving
215.757,robot1,moving
215.758,robot1,moving
215.759,robot1,moving
215.76,robot1,moving
215.761,robot1,moving
215.762,robot1,moving
215.763,robot1,moving
215.764,robot1,moving
215.765,robot1,moving
215.766,robot1,moving
215.768,robot1,moving
215.769,robot1,moving
215.77,robot1,moving
215.772,robot1,moving
215.773,robot1,moving
215.774,robot1,moving
215.775,robot1,moving
215.776,robot1,moving
215.777,robot1,moving
215.778,robot1,moving
215.779,robot1,moving
215.78,robot1,moving
215.781,robot1,moving
215.782,robot1,moving
215.783,robot1,moving
215.784,robot1,moving
215.785,robot1,moving
215.786,robot1,moving
215.787,robot1,moving
215.789,robot1,moving
215.79,robot1,moving
215.791,robot1,moving
215.792,robot1,moving
215.793,robot1,moving
215.794,robot1,moving
215.795,robot1,moving
215.796,robot1,moving
215.797,robot1,moving
215.798,robot1,moving
215.799,robot1,moving
215.8,robot1,moving
215.801,robot1,moving
215.802,robot1,moving
215.803,robot1,moving
215.804,robot1,moving
215.806,robot1,moving
215.808,robot1,moving
215.809,robot1,moving
215.81,robot1,moving
215.811,robot1,moving
215.812,robot1,moving
215.813,robot1,moving
215.814,robot1,moving
215.815,robot1,moving
215.816,robot1,moving
215.817,robot1,moving
215.818,robot1,moving
215.819,robot1,moving
215.82,robot1,moving
215.821,robot1,moving
215.823,robot1,moving
215.824,robot1,moving
215.825,robot1,moving
215.826,robot1,moving
215.827,robot1,moving
215.828,robot1,moving
215.829,robot1,moving
215.83,robot1,moving
215.831,robot1,moving
215.832,robot1,moving
215.833,robot1,moving
215.834,robot1,moving
215.836,robot1,moving
215.837,robot1,moving
215.838,robot1,moving
215.839,robot1,moving
215.84,robot1,moving
215.841,robot1,moving
215.842,robot1,moving
215.843,robot1,moving
215.844,robot1,moving
215.845,robot1,moving
215.846,robot1,moving
215.847,robot1,moving
215.848,robot1,moving
215.849,robot1,moving
215.85,robot1,moving
215.851,robot1,moving
215.852,robot1,moving
215.853,robot1,moving
215.854,robot1,moving
215.855,robot1,moving
215.856,robot1,moving
215.857,robot1,moving
215.858,robot1,moving
215.859,robot1,moving
215.86,robot1,moving
215.861,robot1,moving
215.862,robot1,moving
215.863,robot1,moving
215.864,robot1,moving
