Time;Robot;Move
332.237;robot1;a_unknown
332.239;robot1;a_unknown
332.242;robot1;a_unknown
332.243;robot1;a_unknown
332.244;robot1;a_unknown
332.245;robot1;a_unknown
332.246;robot1;a_unknown
332.247;robot1;a_unknown
332.248;robot1;a_unknown
332.249;robot1;a_unknown
332.25;robot1;a_unknown
332.251;robot1;a_unknown
332.252;robot1;a_unknown
332.254;robot1;a_unknown
332.255;robot1;a_unknown
332.257;robot1;a_unknown
332.258;robot1;a_unknown
332.259;robot1;a_unknown
332.26;robot1;a_unknown
332.261;robot1;a_unknown
332.262;robot1;a_unknown
332.263;robot1;a_unknown
332.264;robot1;a_unknown
332.267;robot1;a_unknown
332.269;robot1;a_unknown
332.27;robot1;a_unknown
332.271;robot1;a_unknown
332.273;robot1;a_unknown
332.274;robot1;a_unknown
332.275;robot1;a_unknown
332.276;robot1;a_unknown
332.277;robot1;a_unknown
332.278;robot1;a_unknown
332.279;robot1;a_unknown
332.28;robot1;a_unknown
332.281;robot1;a_unknown
332.282;robot1;a_unknown
332.283;robot1;a_unknown
332.284;robot1;a_unknown
332.285;robot1;a_unknown
332.286;robot1;a_unknown
332.287;robot1;a_unknown
332.289;robot1;a_unknown
332.29;robot1;a_unknown
332.291;robot1;a_unknown
332.292;robot1;a_unknown
332.293;robot1;a_unknown
332.294;robot1;a_unknown
332.295;robot1;a_unknown
332.296;robot1;a_unknown
332.297;robot1;a_unknown
332.298;robot1;a_unknown
332.299;robot1;a_unknown
332.3;robot1;a_unknown
332.301;robot1;a_unknown
332.302;robot1;a_unknown
332.303;robot1;a_unknown
332.305;robot1;a_unknown
332.306;robot1;a_unknown
332.307;robot1;a_unknown
332.308;robot1;a_unknown
332.309;robot1;a_unknown
332.31;robot1;a_unknown
332.311;robot1;a_unknown
332.312;robot1;a_unknown
332.313;robot1;a_unknown
332.314;robot1;a_unknown
332.315;robot1;a_unknown
332.316;robot1;a_unknown
332.317;robot1;a_unknown
332.318;robot1;a_unknown
332.319;robot1;a_unknown
332.321;robot1;a_unknown
332.322;robot1;a_unknown
332.323;robot1;a_unknown
332.324;robot1;a_unknown
332.325;robot1;a_unknown
332.326;robot1;a_unknown
332.327;robot1;a_unknown
332.328;robot1;a_unknown
332.329;robot1;a_unknown
332.33;robot1;a_unknown
332.331;robot1;a_unknown
332.332;robot1;a_unknown
332.333;robot1;a_unknown
332.334;robot1;a_unknown
332.335;robot1;a_unknown
332.337;robot1;a_unknown
332.338;robot1;a_unknown
332.339;robot1;a_unknown
332.34;robot1;a_unknown
332.341;robot1;a_unknown
332.342;robot1;a_unknown
332.343;robot1;a_unknown
332.344;robot1;a_unknown
332.345;robot1;a_unknown
332.349;robot1;a_unknown
332.35;robot1;a_unknown
332.351;robot1;a_unknown
332.353;robot1;a_unknown
332.354;robot1;a_unknown
332.355;robot1;a_unknown
332.356;robot1;a_unknown
332.357;robot1;a_unknown
332.358;robot1;a_unknown
332.359;robot1;a_unknown
332.36;robot1;a_unknown
332.361;robot1;a_unknown
332.362;robot1;a_unknown
332.363;robot1;a_unknown
332.364;robot1;a_unknown
332.365;robot1;a_unknown
332.366;robot1;a_unknown
332.367;robot1;a_unknown
332.369;robot1;a_unknown
332.37;robot1;a_unknown
332.371;robot1;a_unknown
332.372;robot1;a_unknown
332.373;robot1;a_unknown
332.374;robot1;a_unknown
332.375;robot1;a_unknown
332.376;robot1;a_unknown
332.377;robot1;a_unknown
332.378;robot1;a_unknown
332.379;robot1;a_unknown
332.38;robot1;a_unknown
332.381;robot1;a_unknown
332.382;robot1;a_unknown
332.383;robot1;a_unknown
332.385;robot1;a_unknown
332.386;robot1;a_unknown
332.387;robot1;a_unknown
332.388;robot1;a_unknown
332.389;robot1;a_unknown
332.39;robot1;a_unknown
332.391;robot1;a_unknown
332.392;robot1;a_unknown
332.393;robot1;a_unknown
332.394;robot1;a_unknown
332.395;robot1;a_unknown
332.396;robot1;a_unknown
332.397;robot1;a_unknown
332.399;robot1;a_unknown
332.401;robot1;a_unknown
332.402;robot1;a_unknown
332.403;robot1;a_unknown
332.404;robot1;a_unknown
332.405;robot1;a_unknown
332.406;robot1;a_unknown
332.407;robot1;a_unknown
332.408;robot1;a_unknown
332.409;robot1;a_unknown
332.41;robot1;a_unknown
332.411;robot1;a_unknown
332.412;robot1;a_unknown
332.413;robot1;a_unknown
332.414;robot1;a_unknown
332.415;robot1;a_unknown
332.417;robot1;a_unknown
332.418;robot1;a_unknown
332.419;robot1;a_unknown
332.42;robot1;a_unknown
332.421;robot1;a_unknown
332.422;robot1;a_unknown
332.423;robot1;a_unknown
332.424;robot1;a_unknown
332.425;robot1;a_unknown
332.426;robot1;a_unknown
